year,date,detections,total_frp,avg_brightness,avg_confidence,max_frp,peak_day_detections,day_detections,night_detections,major_fire,location,mean_lat,mean_lon,note
2000,2000-11-07,451,10858.8,312.3137472283814,62.352549889135254,534.2,70,430,21,Peak MODIS active-fire detection day,California,37.84707383592018,-120.74677627494457,"Peak detection date: 2000-11-07. FIRMS recorded 451 MODIS active-fire detections in California this year; total FRP was 10,859 MW."
2001,2001-08-11,3258,225537.5,325.85659914057703,70.16329036218539,8767.1,171,2231,1027,Peak MODIS active-fire detection day,California,38.39829472068754,-120.55122915899325,"Peak detection date: 2001-08-11. FIRMS recorded 3,258 MODIS active-fire detections in California this year; total FRP was 225,538 MW."
2002,2002-09-24,7498,840943.6,331.25110696185646,72.47812750066684,11488.0,197,5160,2338,Peak MODIS active-fire detection day,California,36.98566130968258,-119.69809966657775,"Peak detection date: 2002-09-24. FIRMS recorded 7,498 MODIS active-fire detections in California this year; total FRP was 840,944 MW."
2003,2003-10-27,11408,1578701.2,335.65930925666197,74.2749824684432,11800.8,1242,7985,3423,Peak MODIS active-fire detection day,California,36.03656733870967,-119.16003963884992,"Peak detection date: 2003-10-27. FIRMS recorded 11,408 MODIS active-fire detections in California this year; total FRP was 1,578,701 MW."
2004,2004-10-14,6428,479654.3,327.7912570006223,70.18559427504667,3887.8,143,5020,1408,Peak MODIS active-fire detection day,California,37.57588126944617,-120.34576733042937,"Peak detection date: 2004-10-14. FIRMS recorded 6,428 MODIS active-fire detections in California this year; total FRP was 479,654 MW."
2005,2005-06-24,5101,274091.3,325.13832581846697,68.3887473044501,2437.5,200,4247,854,Peak MODIS active-fire detection day,California,37.32410570476377,-119.84178743383652,"Peak detection date: 2005-06-24. FIRMS recorded 5,101 MODIS active-fire detections in California this year; total FRP was 274,091 MW."
2006,2006-09-17,11555,1213106.2,330.97633059281696,72.75127650367806,7589.5,310,7758,3797,Peak MODIS active-fire detection day,California,37.6573904024232,-120.49067838165296,"Peak detection date: 2006-09-17. FIRMS recorded 11,555 MODIS active-fire detections in California this year; total FRP was 1,213,106 MW."
2007,2007-10-22,12968,2319159.0,341.03707587908696,77.5092535471931,10686.4,1014,8652,4316,Peak MODIS active-fire detection day,California,36.17647325724861,-119.5362151758174,"Peak detection date: 2007-10-22. FIRMS recorded 12,968 MODIS active-fire detections in California this year; total FRP was 2,319,159 MW."
2008,2008-07-09,22589,1599262.3,327.97232281198814,70.6405772721236,5892.0,1147,12940,9649,Peak MODIS active-fire detection day,California,39.05386167161008,-121.79491835406613,"Peak detection date: 2008-07-09. FIRMS recorded 22,589 MODIS active-fire detections in California this year; total FRP was 1,599,262 MW."
2009,2009-08-31,8275,1094988.2,335.07764350453175,75.02622356495468,7710.0,451,5836,2439,Peak MODIS active-fire detection day,California,36.961039794561934,-120.06672217522659,"Peak detection date: 2009-08-31. FIRMS recorded 8,275 MODIS active-fire detections in California this year; total FRP was 1,094,988 MW."
2010,2010-07-28,2952,175291.1,324.94081978319787,67.72256097560975,1954.3,78,2433,519,Peak MODIS active-fire detection day,California,37.42721456639567,-119.97027415311653,"Peak detection date: 2010-07-28. FIRMS recorded 2,952 MODIS active-fire detections in California this year; total FRP was 175,291 MW."
2011,2011-11-02,3617,188352.0,324.071578656345,68.19048935581974,2314.5,117,3067,550,Peak MODIS active-fire detection day,California,37.405641747304394,-119.97087600221178,"Peak detection date: 2011-11-02. FIRMS recorded 3,617 MODIS active-fire detections in California this year; total FRP was 188,352 MW."
2012,2012-08-14,9335,854430.7,332.2250026780932,73.25334761649705,4356.9,525,5576,3759,Peak MODIS active-fire detection day,California,39.45937769683985,-121.14976017139797,"Peak detection date: 2012-08-14. FIRMS recorded 9,335 MODIS active-fire detections in California this year; total FRP was 854,431 MW."
2013,2013-08-24,10501,1176043.6,334.31083706313683,73.82258832492144,8105.9,506,6762,3739,Peak MODIS active-fire detection day,California,38.06498286829826,-120.35401898866776,"Peak detection date: 2013-08-24. FIRMS recorded 10,501 MODIS active-fire detections in California this year; total FRP was 1,176,044 MW."
2014,2014-08-02,8506,908563.0,331.2614272278392,72.91382553491653,8665.3,609,5093,3413,Peak MODIS active-fire detection day,California,39.7202021043969,-121.60187765106983,"Peak detection date: 2014-08-02. FIRMS recorded 8,506 MODIS active-fire detections in California this year; total FRP was 908,563 MW."
2015,2015-08-01,11738,1117321.0,330.58778326801837,72.11432952802862,11944.2,353,7259,4479,Peak MODIS active-fire detection day,California,38.56193793661612,-121.05341895552904,"Peak detection date: 2015-08-01. FIRMS recorded 11,738 MODIS active-fire detections in California this year; total FRP was 1,117,321 MW."
2016,2016-08-18,9082,1091100.8,333.3971371944505,74.42039198414446,7664.0,231,5907,3175,Peak MODIS active-fire detection day,California,36.798666406077956,-120.40945570358951,"Peak detection date: 2016-08-18. FIRMS recorded 9,082 MODIS active-fire detections in California this year; total FRP was 1,091,101 MW."
2017,2017-09-04,18036,1979325.5,332.30280550011094,74.30322687957418,7486.9,797,10292,7744,Peak MODIS active-fire detection day,California,38.34364448880017,-121.05739696717676,"Peak detection date: 2017-09-04. FIRMS recorded 18,036 MODIS active-fire detections in California this year; total FRP was 1,979,326 MW."
2018,2018-08-04,21634,2500870.0,334.17279744846076,75.40445594896921,11233.2,1127,11915,9719,Peak MODIS active-fire detection day,California,39.05584646389942,-121.46895327724877,"Peak detection date: 2018-08-04. FIRMS recorded 21,634 MODIS active-fire detections in California this year; total FRP was 2,500,870 MW."
2019,2019-09-08,5877,487194.3,327.3117406840225,69.97787987068232,5601.5,276,4484,1393,Peak MODIS active-fire detection day,California,38.13857326867449,-120.65683590267142,"Peak detection date: 2019-09-08. FIRMS recorded 5,877 MODIS active-fire detections in California this year; total FRP was 487,194 MW."
2020,2020-09-09,50162,7081387.8,337.0567082652207,76.36254535305609,10202.4,2813,26631,23531,Peak MODIS active-fire detection day,California,38.48675287468602,-121.1580016705873,"Peak detection date: 2020-09-09. FIRMS recorded 50,162 MODIS active-fire detections in California this year; total FRP was 7,081,388 MW."
2021,2021-08-05,45585,6737213.2,338.6582779423056,76.75691565207853,10433.3,1799,22935,22650,Peak MODIS active-fire detection day,California,39.62429140506746,-121.30446990896128,"Peak detection date: 2021-08-05. FIRMS recorded 45,585 MODIS active-fire detections in California this year; total FRP was 6,737,213 MW."
2022,2022-09-09,7136,614436.4,328.22735426008967,72.33758408071749,5630.2,324,4752,2384,Peak MODIS active-fire detection day,California,38.52396257006727,-120.85592009529148,"Peak detection date: 2022-09-09. FIRMS recorded 7,136 MODIS active-fire detections in California this year; total FRP was 614,436 MW."
2023,2023-08-20,7683,413530.6,322.7018091891188,67.49668098399063,3343.1,250,5745,1938,Peak MODIS active-fire detection day,California,39.1573083040479,-121.50105598073668,"Peak detection date: 2023-08-20. FIRMS recorded 7,683 MODIS active-fire detections in California this year; total FRP was 413,531 MW."
